sum,min,max,mean,订单数标准差,订单数中位数
231.0,0.0,43.0,0.9625,4.578767854211599,0.0
309.0,0.0,60.0,1.2875,5.764253753861997,0.0
14279.0,0.0,440.0,59.49583333333333,87.80946460727601,20.0
713.0,0.0,100.0,2.970833333333333,15.21791443676636,0.0
6538.0,0.0,140.0,27.241666666666667,34.95101074393007,0.0
462.0,0.0,100.0,1.925,12.807661475406793,0.0
6716.0,8.0,200.0,27.983333333333334,36.303689620419966,20.0
94.0,0.0,10.0,0.39166666666666666,1.249574544052356,0.0
715.0,0.0,320.0,2.9791666666666665,28.227178795154362,0.0
576.0,0.0,100.0,2.4,10.271950677028055,0.0
84.0,0.0,10.0,0.35,1.1289273614576356,0.0
308.0,0.0,50.0,1.2833333333333334,6.682498634910361,0.0
44.0,0.0,8.0,0.18333333333333332,0.7083876835330433,0.0
32.0,0.0,2.0,0.13333333333333333,0.397341233435451,0.0
27883.0,0.0,4210.0,116.17916666666666,671.6031693919989,0.0
38.0,0.0,6.0,0.15833333333333333,0.6596034479197869,0.0
194.0,0.0,20.0,0.8083333333333333,2.8248622237172305,0.0
113.0,0.0,15.0,0.4708333333333333,1.2933622514704033,0.0
277.0,0.0,50.0,1.1541666666666666,6.1055211427026315,0.0
183.0,0.0,15.0,0.7625,2.0098736403588173,0.0
324.0,0.0,240.0,1.35,15.48553110617028,0.0
314.0,0.0,50.0,1.3083333333333333,6.4416217627589,0.0
7466.0,0.0,400.0,31.108333333333334,90.97636787570137,1.0
235.0,0.0,35.0,0.9791666666666666,3.7722260906815976,0.0
309.0,0.0,7.0,1.2875,1.5674013085118583,1.0
23.0,0.0,4.0,0.09583333333333334,0.4131511385914195,0.0
83.0,0.0,7.0,0.3458333333333333,0.9335580771452134,0.0
146.0,0.0,20.0,0.6083333333333333,2.2935085155756734,0.0
976.0,0.0,450.0,4.066666666666666,38.74716528075676,0.0
126.0,0.0,20.0,0.525,2.484975775034932,0.0
40554.0,4.0,250.0,168.975,32.24538824020431,170.0
97.0,0.0,7.0,0.4041666666666667,0.9143116699717788,0.0
28.0,0.0,5.0,0.11666666666666667,0.5040975752881941,0.0
1706.0,0.0,200.0,7.108333333333333,35.9152409538827,0.0
226.0,0.0,20.0,0.9416666666666667,2.531131135611603,0.0
100.0,0.0,8.0,0.4166666666666667,1.0234352958257695,0.0
67677.0,0.0,5390.0,281.9875,846.3890985352108,2.0
94.0,0.0,4.0,0.39166666666666666,0.6441995238272866,0.0
945.0,0.0,200.0,3.9375,24.055033007059276,0.0
32360.0,50.0,430.0,134.83333333333334,82.80120199371447,110.0
203.0,0.0,55.0,0.8458333333333333,4.848886268765211,0.0
302.0,0.0,50.0,1.2583333333333333,6.013925031269465,0.0
349.0,0.0,100.0,1.4541666666666666,9.972240934755282,0.0
27.0,0.0,3.0,0.1125,0.44797312008422063,0.0
147.0,0.0,20.0,0.6125,2.271307753725569,0.0
222.0,0.0,4.0,0.925,0.8978123109017244,1.0
8840.0,0.0,2300.0,36.833333333333336,279.81647701471417,0.0
93.0,0.0,15.0,0.3875,1.2920136079701006,0.0
53.0,0.0,3.0,0.22083333333333333,0.5384614426716852,0.0
51.0,0.0,7.0,0.2125,0.7031385110277892,0.0
3168.0,0.0,800.0,13.2,99.43982011381446,0.0
63.0,0.0,4.0,0.2625,0.6674202505131074,0.0
60.0,0.0,6.0,0.25,0.8409000955590962,0.0
500.0,0.0,58.0,2.0833333333333335,6.023084369968142,1.0
32155.0,20.0,1260.0,133.97916666666666,272.36470209061474,60.0
55.0,0.0,4.0,0.22916666666666666,0.5579244011315186,0.0
121.0,0.0,30.0,0.5041666666666667,2.3376094012242024,0.0
357.0,0.0,270.0,1.4875,17.41614247841502,0.0
794.0,0.0,150.0,3.308333333333333,19.88977821760031,0.0
89.0,0.0,10.0,0.37083333333333335,1.5416068253303632,0.0
1336.0,0.0,213.0,5.566666666666666,32.112702509794566,0.0
76.0,0.0,30.0,0.31666666666666665,2.4080872575320904,0.0
944.0,0.0,400.0,3.933333333333333,36.50178727402327,0.0
12509.0,0.0,3100.0,52.12083333333333,391.16327689033784,1.0
216.0,0.0,30.0,0.9,2.8707149256065847,0.0
941.0,0.0,400.0,3.9208333333333334,29.660667772182258,1.0
182.0,0.0,3.0,0.7583333333333333,0.5563754990609935,1.0
288.0,0.0,42.0,1.2,5.795828827627951,0.0
373.0,0.0,50.0,1.5541666666666667,6.205442284559691,0.0
93.0,0.0,50.0,0.3875,3.259336444520172,0.0
328.0,0.0,30.0,1.3666666666666667,5.2052971624597815,0.0
105.0,0.0,50.0,0.4375,3.281150999701963,0.0
31.0,0.0,6.0,0.12916666666666668,0.5214873857006604,0.0
32638.0,0.0,1170.0,135.99166666666667,311.84674639268616,5.0
329.0,0.0,40.0,1.3708333333333333,2.90288835626279,1.0
276.0,0.0,6.0,1.15,0.8547186280024517,1.0
266.0,0.0,50.0,1.1083333333333334,6.160062806468566,0.0
10137.0,0.0,412.0,42.2375,87.57761560598762,0.0
271.0,0.0,50.0,1.1291666666666667,6.250354243796332,0.0
18880.0,10.0,210.0,78.66666666666667,58.26549153218181,65.0
48.0,0.0,10.0,0.2,0.8089457988266773,0.0
100.0,0.0,10.0,0.4166666666666667,0.9731399666544066,0.0
2200.0,0.0,750.0,9.166666666666666,80.18063637246492,0.0
550.0,0.0,300.0,2.2916666666666665,19.820489729322563,0.0
100.0,0.0,20.0,0.4166666666666667,1.5420647644623662,0.0
30135.0,0.0,1280.0,125.5625,331.242235639642,3.0
86.0,0.0,25.0,0.35833333333333334,1.7869627036744693,0.0
574.0,0.0,60.0,2.3916666666666666,7.430904407058003,1.0
255.0,0.0,50.0,1.0625,5.402642503914598,0.0
245.0,0.0,120.0,1.0208333333333333,8.015908824439652,0.0
126.0,0.0,45.0,0.525,3.0255882238696015,0.0
322.0,0.0,9.0,1.3416666666666666,1.7714416667789423,1.0
1214.0,0.0,300.0,5.058333333333334,36.54979885544899,0.0
243.0,0.0,180.0,1.0125,11.618583170739777,0.0
109.0,0.0,23.0,0.45416666666666666,1.653569529738384,0.0
